대분류,중분류,소분류,세분류,상품코드(다나와),상품명,브랜드,최저가,등록월,상품상태,가격이력수,스펙요약
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,90891410,ASUS ROG 제피러스 G14 GA403UM-QS018W (SSD 1TB),ASUS,2549000,2025.05.,판매중,9,노트북 / 35.56cm(14인치) / 1.5kg / 윈도우11홈 / [화면]해상도:2880x1800(WQXGA+)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,88010246,ASUS ROG STRIX G16 G614FR-S5122 32GB램 (SSD 1TB),ASUS,3116960,2025.04.,판매중,24,
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,81062753,ASUS ROG STRIX G16 G614FR-S5122 (SSD 1TB),ASUS,3149000,2025.04.,판매중,10,노트북 / 40.6cm(16인치) / 2.5kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,77088449,ASUS ROG STRIX G16 G615LW-S5027 (SSD 1TB),ASUS,3858900,2025.03.,판매중,11,노트북 / 40.6cm(16인치) / 2.73kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,81062438,ASUS ROG STRIX G18 G815LR-S9199 (SSD 1TB),ASUS,3699000,2025.04.,판매중,10,노트북 / 45.72cm(18인치) / 3.42kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,93383075,ASUS TUF Gaming A14 FA401KM-RG006 (SSD 1TB),ASUS,1983900,2025.07.,판매중,7,AI노트북 / 35.56cm(14인치) / 1.46kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,92886116,ASUS TUF Gaming A14 FA401UM-RG007 (SSD 512GB),ASUS,1749000,2025.06.,판매중,8,노트북 / 35.56cm(14인치) / 1.46kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,93440768,ASUS TUF Gaming A14 FA401UM-RG007 WIN11 (SSD 512GB),ASUS,1800000,2025.06.,판매중,7,노트북 / 35.56cm(14인치) / 1.46kg / 윈도우11(설치) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,92366540,ASUS TUF Gaming A18 FA808UP-S8017 (SSD 512GB),ASUS,1851910,2025.06.,판매중,24,
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,ASUS ROG/TUF,92366864,ASUS TUF Gaming A18 FA808UP-S8017 WIN11 64GB램 (SSD 512GB),ASUS,2507340,2025.06.,판매중,8,노트북 / 45.72cm(18인치) / 2.6kg / 윈도우11(설치) / [화면]해상도:1920x1200(WUXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,레노버 Legion,96979904,레노버 LEGION 5 15AHP10 83M0000PKR (SSD 512GB),레노버,1997000,2025.09.,판매중,5,노트북 / 38.35cm(15.1인치) / 1.9kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,레노버 Legion,96856619,레노버 LEGION 5 15AKP10 83F1001WKR (SSD 1TB),레노버,2399000,2025.08.,판매중,5,AI노트북 / 38.35cm(15.1인치) / 2kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,레노버 Legion,92545097,레노버 LEGION Pro 5 16IAX10H U9 5070Ti Plus (SSD 1TB),레노버,3199000,2025.06.,판매중,8,노트북 / 40.6cm(16인치) / 2.42kg / OS미포함(프리도스) / [화면]해상도:2560x1600(WQXGA)
컴퓨터/노트북/조립PC,노트북,게이밍 노트북,MSI,74053658,MSI GF시리즈 Sword GF76 B13UDXK WIN11 32GB램 (SSD 512GB),MSI,1349000,2025.01.,판매중,24,
컴퓨터/노트북/조립PC,노트북,삼성 갤럭시북,갤럭시북 프로,73614713,삼성전자 갤럭시북5 프로 NT940XHA-K51A (SSD 256GB),삼성전자,1968000,2025.01.,판매중,13,AI노트북 / 35.6cm(14인치) / 1.23kg / 최대 21시간 / 윈도우11홈
컴퓨터/노트북/조립PC,노트북,삼성 갤럭시북,갤럭시북 프로,72475073,삼성전자 갤럭시북5 프로 NT940XHA-K71AR (SSD 512GB),삼성전자,2260000,2025.01.,판매중,24,
